,Brand,Model,Features,Color,Display_size,belt_size,Prices,MRP,Deal,Offer_percentage
0,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,8999.0,Bank Offer,83
1,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,9999.0,Super Deals,89
2,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Jet Black Strap,1.8, Regular,1099.0,5999.0,Super Deals,81
3,REPOINT,Big,Smart watch combo 10 in one Smartwatch,Multicolour Strap,10, 42,757.0,1599.0,Only few left,52
4,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Pink Strap,1.83, Free Size,999.0,9999.0,Super Deals,90
5,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,4499.0,Super Deals,75
6,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Deep Wine Strap,1.8, Regular,1099.0,5999.0,Super Deals,81
7,Noise,Triumph,"1.85"" Display with swappable dial cases, ...",Grey Strap,1.85, Regular,999.0,8999.0,Super Deals,88
8,Fastrack,Revoltt,XR1-1.38|BT Calling|Fast Charge|100+ S...,Beige Strap,nan, Free Size,1449.0,3995.0,Hot Deal,63
9,Fastrack,XR1-1.38|BT,Calling|Fast Charge|100+ Sports Mo...,Blue Strap,nan, Free Size,1449.0,3995.0,Hot Deal,63
10,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,9999.0,Super Deals,84
11,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
12,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Ice Grey Strap,1.85, Free Size,1049.0,11999.0,Super Deals,91
13,boAt,Storm,"Call 3 Plus w/ Turn by Turn Navigation, QR T...",Active Black Strap,1.96, Free Size,1149.0,7499.0,Bank Offer,84
14,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,2999.0,Super Deals,78
15,Fastrack,Revolt,FS1+ 2.01inch Biggest UltraVU Display|I...,Green Strap,2.01, Free Size,1574.0,5995.0,Bank Offer,73
16,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
17,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,12999.0,Super Deals,91
18,Fire-Boltt,Talk,35.3mm (1.39) Bluetooth Calling with Sp...,Active Black Strap,1.39, 46,1399.0,9999.0,Bank Offer,86
19,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Gold Pink Strap,1.3, Free Size,1373.0,8999.0,Bank Offer,84
20,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
21,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,11999.0,Super Deals,88
22,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Silver Grey Strap,1.8, Regular,1199.0,5999.0,Super Deals,80
23,Fastrack,Revoltt,FS1-1.83''|BT Calling|Fast Charge|110+...,Black Strap,1.83, Free Size,1449.0,3995.0,Hot Deal,63
24,Fastrack,Revoltt,FR2-1.38''|Advanced Blazing Fast UI|Wo...,Black Strap,1.38, Free Size,1699.0,3999.0,Bank Offer,57
25,boAt,Wave,"Fury with 1.83'' HD Display, Bluetooth Callin...",Blue Strap,1.83, Free Size,1199.0,6999.0,Bank Offer,82
